date,url
04-18-2024,https://firebasestorage.googleapis.com/v0/b/ooda-nsec.appspot.com/o/data%2Faa24-109a-stopransomware-akira-ransomware_2.pdf?alt=media&token=f30c3ddd-c0ff-4ade-8995-8cb0514a47aa
02-29-2024,https://firebasestorage.googleapis.com/v0/b/ooda-nsec.appspot.com/o/data%2FAA24-060B-Threat-Actors-Exploit-Multiple-Vulnerabilities-in-Ivanti-Connect-Secure-and-Policy-Secure-Gateways_0.pdf?alt=media&token=d94153bf-322f-4b00-8935-a957667406ba
02-29-2024,https://firebasestorage.googleapis.com/v0/b/ooda-nsec.appspot.com/o/data%2Faa24-060a-stopransomware-phobos-ransomware_1.pdf?alt=media&token=223980fd-a247-4868-a9ff-324da5eee89c
02-26-2024,https://firebasestorage.googleapis.com/v0/b/ooda-nsec.appspot.com/o/data%2FAdvisory-SVR-cyber-actors-adapt-tactics-for-initial-cloud-access.pdf?alt=media&token=58f1da66-690f-4c49-8a44-6a4388f27abc
02-15-2024,https://firebasestorage.googleapis.com/v0/b/ooda-nsec.appspot.com/o/data%2Faa24-046a-threat-actor-leverages-compromised%20account-of%20former-employee.pdf?alt=media&token=15b02d13-0bb1-4c2d-89bc-d88022d71f82
02-07-2024,https://firebasestorage.googleapis.com/v0/b/ooda-nsec.appspot.com/o/data%2Faa24-038a_csa_prc_state_sponsored_actors_compromise_us_critical_infrastructure_3.pdf?alt=media&token=a875db45-cd97-413d-a0cb-b79776ca8117
01-16-2024,https://firebasestorage.googleapis.com/v0/b/ooda-nsec.appspot.com/o/data%2Faa24-016a-known-indicators-of-compromise-associated-with-adroxgh0st-malware_0.pdf?alt=media&token=413b3430-b71a-47fd-9ea0-86f9077c4ca5
12-19-2023,https://firebasestorage.googleapis.com/v0/b/ooda-nsec.appspot.com/o/data%2Faa23-353a-stopransomware-alphv-blackcat-update_2.pdf?alt=media&token=b9d2f948-d09a-4dac-9da9-2e30b59d1df5
12-18-2023,https://firebasestorage.googleapis.com/v0/b/ooda-nsec.appspot.com/o/data%2Faa23-352a-stopransomware-play-ransomware.pdf?alt=media&token=6b749e02-3599-4c08-9de1-eba4e8143cb2
12-15-2023,https://firebasestorage.googleapis.com/v0/b/ooda-nsec.appspot.com/o/data%2Faa23-349a-risk-vulnerability-assessment-healthcare-public-health-sector.pdf?alt=media&token=2bb7ec30-5733-4d06-b518-e9ccf34fb212
